Date, Close/Last, Volume, Open, High, Low
06/10/2014, 20.235, 703158, 20.18, 20.235, 20.1167
06/09/2014, 20.205, 719760, 20.185, 20.28, 20.155
06/06/2014, 20.1767, 1281450, 20.055, 20.1767, 20.03
06/05/2014, 19.95, 1449150, 19.7967, 19.9833, 19.6583
06/04/2014, 19.72, 928620, 19.6517, 19.74, 19.5783
06/03/2014, 19.695, 566076, 19.6583, 19.7217, 19.62
06/02/2014, 19.7267, 1361766, 19.7367, 19.7683, 19.5967
05/30/2014, 19.665, 1045164, 19.5867, 19.6833, 19.5167
05/29/2014, 19.625, 499290, 19.565, 19.63, 19.4517
05/28/2014, 19.47, 823074, 19.5733, 19.5767, 19.4333
05/27/2014, 19.5517, 1658592, 19.555, 19.5867, 19.4833
05/23/2014, 19.415, 1164504, 19.2567, 19.4167, 19.2567
05/22/2014, 19.2517, 480042, 19.23, 19.305, 19.15
05/21/2014, 19.2217, 1519962, 18.9817, 19.25, 18.9633
05/20/2014, 18.8333, 1136724, 19.1334, 19.1334, 18.7667
05/19/2014, 19.1533, 1154862, 19.0183, 19.199, 19.0017
05/16/2014, 19.135, 1105110, 19.0233, 19.135, 18.9417
05/15/2014, 19.0283, 2437266, 19.3033, 19.3267, 18.9
05/14/2014, 19.395, 818388, 19.62, 19.6317, 19.3483
05/13/2014, 19.6167, 1129476, 19.6233, 19.66, 19.5917
05/12/2014, 19.55, 1402242, 19.42, 19.5817, 19.42
05/09/2014, 19.3117, 1230348, 19.1933, 19.3117, 19.1033
05/08/2014, 19.215, 1600272, 19.135, 19.38, 19.105
05/07/2014, 19.1383, 2167362, 19.0167, 19.15, 18.7667
05/06/2014, 18.845, 849366, 19.0667, 19.0667, 18.8317
05/05/2014, 19.125, 1148676, 18.8967, 19.1733, 18.7752
05/02/2014, 19.0933, 1421178, 19.1683, 19.3333, 19.04
05/01/2014, 19.1867, 1018032, 19.2133, 19.2933, 19.115
04/30/2014, 19.2433, 1450692, 19.1083, 19.277, 19.105
04/29/2014, 19.1383, 1248786, 19.0567, 19.2, 19.0267
04/28/2014, 18.9433, 2692433, 18.935, 19.0667, 18.6333
04/25/2014, 18.7717, 1491978, 18.925, 18.945, 18.685
04/24/2014, 19.0733, 1229028, 19.1517, 19.17, 18.9583
04/23/2014, 19.0733, 628692, 19.1417, 19.1417, 19.02
04/22/2014, 19.1017, 1128450, 18.9933, 19.2132, 18.97
04/21/2014, 18.9333, 858804, 18.8917, 18.9744, 18.8567
04/17/2014, 18.8617, 1859238, 18.8433, 18.96, 18.765
04/16/2014, 18.8917, 1784598, 18.765, 18.8917, 18.6608
04/15/2014, 18.52, 3742745, 18.3667, 18.535, 18.0667
04/14/2014, 18.305, 2514557, 18.23, 18.345, 18.045
04/11/2014, 17.9983, 4838633, 18.1183, 18.2807, 17.955
04/10/2014, 18.3033, 3411587, 18.945, 18.9667, 18.275
04/09/2014, 18.9367, 2421204, 18.6833, 18.9367, 18.5483
04/08/2014, 18.5233, 1952892, 18.4733, 18.6083, 18.3467
04/07/2014, 18.4783, 3065201, 18.8017, 18.8883, 18.475
04/04/2014, 18.89, 3808163, 19.3833, 19.3833, 18.815
04/03/2014, 19.2217, 1331814, 19.3133, 19.3165, 19.1367
04/02/2014, 19.2417, 1877286, 19.1867, 19.275, 19.0933
04/01/2014, 19.125, 1730010, 19.0733, 19.2133, 19.055
03/31/2014, 18.9817, 1757826, 18.8533, 19.02, 18.8367
03/28/2014, 18.6467, 1868466, 18.5917, 18.8733, 18.54
03/27/2014, 18.5167, 1648272, 18.5167, 18.6167, 18.36
03/26/2014, 18.5317, 1656420, 18.9417, 18.9898, 18.5317
03/25/2014, 18.8117, 1893006, 18.82, 18.8828, 18.6267
03/24/2014, 18.5867, 2029014, 18.7667, 18.8167, 18.4433
03/21/2014, 18.6317, 2400144, 18.8367, 18.9937, 18.62
03/20/2014, 18.7267, 1681476, 18.3933, 18.7633, 18.3183
03/19/2014, 18.4933, 2158566, 18.7167, 18.7917, 18.2467
03/18/2014, 18.7167, 1629132, 18.5933, 18.7967, 18.5633
03/17/2014, 18.5232, 2104698, 18.305, 18.5867, 18.2917
03/14/2014, 18.1217, 2386278, 18.15, 18.3433, 18.0767
03/13/2014, 18.22, 2725907, 18.8483, 18.9033, 18.1643
03/12/2014, 18.7383, 1467552, 18.5967, 18.7967, 18.5583
03/11/2014, 18.7633, 1825452, 18.9667, 19.0183, 18.71
03/10/2014, 18.9083, 1395546, 18.9183, 18.9367, 18.7135
03/07/2014, 18.9817, 2196042, 19.0817, 19.1067, 18.8683
03/06/2014, 18.92, 1373802, 18.8667, 18.975, 18.8533
03/05/2014, 18.7583, 1547652, 18.85, 18.8517, 18.7267
03/04/2014, 18.84, 2756927, 18.7167, 18.9017, 18.6917
03/03/2014, 18.3367, 3297131, 18.3533, 18.47, 18.1133
02/28/2014, 18.6867, 3201575, 18.5833, 18.8617, 18.4617
02/27/2014, 18.58, 1072818, 18.3717, 18.5843, 18.3167
02/26/2014, 18.3967, 1028760, 18.4, 18.515, 18.2917
02/25/2014, 18.345, 2429490, 18.405, 18.5133, 18.2617
02/24/2014, 18.4042, 2252556, 18.2467, 18.6133, 18.2267
02/21/2014, 18.1767, 1589442, 18.2617, 18.3733, 18.1527
02/20/2014, 18.2133, 1806174, 18.0333, 18.295, 17.9383
02/19/2014, 18.025, 2620091, 18.1483, 18.4433, 17.9983
02/18/2014, 18.2117, 1521300, 18.3017, 18.31, 18.1652
02/14/2014, 18.2717, 1999800, 17.9217, 18.3283, 17.895
02/13/2014, 17.9717, 2425200, 17.62, 18.0217, 17.6067
02/12/2014, 17.8517, 1827858, 17.93, 18.0183, 17.7748
02/11/2014, 17.86, 2070360, 17.4967, 17.9367, 17.465
02/10/2014, 17.435, 997086, 17.4183, 17.4383, 17.2883
02/07/2014, 17.4183, 3110387, 17.15, 17.4333, 17.0533
02/06/2014, 17.07, 2243106, 16.765, 17.07, 16.7617
02/05/2014, 16.6517, 4224911, 16.5433, 16.7183, 16.42
02/04/2014, 16.6183, 3222425, 16.6, 16.7233, 16.4517
02/03/2014, 16.515, 4981937, 17.185, 17.2177, 16.45
01/31/2014, 17.195, 3528923, 17.1167, 17.43, 17.025
01/30/2014, 17.54, 2333130, 17.5667, 17.6683, 17.3617
01/29/2014, 17.3067, 3846383, 17.4367, 17.55, 17.2267
01/28/2014, 17.715, 2241066, 17.6083, 17.7567, 17.5667
01/27/2014, 17.52, 4229201, 17.6642, 17.7483, 17.4
01/24/2014, 17.6233, 4654301, 18.1217, 18.16, 17.6233
01/23/2014, 18.35, 2879393, 18.5033, 18.5033, 18.2017
01/22/2014, 18.745, 1378302, 18.8183, 18.8233, 18.6433
01/21/2014, 18.8217, 3027953, 19.1133, 19.1167, 18.5967
01/17/2014, 18.895, 1842066, 18.83, 19.01, 18.79
01/16/2014, 18.8333, 1462158, 18.8917, 18.9167, 18.735
01/15/2014, 18.9817, 2306790, 18.7733, 19.0283, 18.7565
01/14/2014, 18.725, 1827084, 18.5633, 18.7267, 18.4767
01/13/2014, 18.455, 2956313, 18.8183, 18.915, 18.425
01/10/2014, 18.89, 1535790, 18.9817, 19.0083, 18.745
01/09/2014, 18.9033, 2074200, 19.0717, 19.0783, 18.7433
01/08/2014, 18.9417, 2137746, 19.015, 19.0433, 18.8333
01/07/2014, 19.08, 1555398, 19.0133, 19.1533, 18.9817
01/06/2014, 18.83, 2777963, 19.0933, 19.0967, 18.7883
01/03/2014, 18.9367, 1951284, 18.9533, 19.0533, 18.875
01/02/2014, 18.8767, 3318155, 19.05, 19.0917, 18.825
12/31/2013, 19.185, 1430748, 19.085, 19.2083, 19.0517
12/30/2013, 19.0117, 813600, 18.9833, 19.02, 18.9583
12/27/2013, 18.9583, 1940298, 19.0467, 19.0767, 18.9183
