Date, Close/Last, Volume, Open, High, Low
09/18/2018, $53.6, 2483584, $52.58, $53.86, $52.58
09/17/2018, $52.6, 4230203, $52.07, $52.99, $51.57
09/14/2018, $52.1, 3491669, $53.09, $53.37, $52.09
09/13/2018, $52.94, 2481908, $53.19, $53.63, $52.86
09/12/2018, $52.94, 1703935, $52.15, $53.075, $52.15
09/11/2018, $52.13, 2983642, $52.51, $52.74, $51.86
09/10/2018, $52.88, 2730237, $52.63, $53.41, $52.63
09/07/2018, $52.62, 2481622, $51.99, $52.68, $51.87
09/06/2018, $52.11, 2195311, $52.39, $52.69, $51.86
09/05/2018, $52.36, 4424629, $51.06, $52.36, $51
09/04/2018, $51.23, 2928908, $52, $52.17, $50.785
08/31/2018, $52.19, 2032561, $52.13, $52.5775, $51.81
08/30/2018, $52.45, 2153444, $52.1, $52.86, $51.7745
08/29/2018, $52.28, 2885488, $52.25, $52.65, $52.05
08/28/2018, $52.25, 2670741, $52.6, $52.62, $52.04
08/27/2018, $52.47, 3008380, $51.95, $52.95, $51.95
08/24/2018, $51.83, 2588163, $51.51, $52.06, $51.44
08/23/2018, $51.33, 2687105, $51.33, $51.75, $51.2
08/22/2018, $51.26, 2332727, $51.53, $51.65, $51.06
08/21/2018, $51.66, 2606751, $51.84, $51.98, $51.585
08/20/2018, $51.75, 3460130, $51.84, $52.105, $51.19
08/17/2018, $51.9, 4778103, $50.35, $52.14, $50.35
08/16/2018, $50.45, 5114874, $50.48, $50.95, $50.19
08/15/2018, $50.25, 2903038, $49.8, $50.32, $49.06
08/14/2018, $50.17, 2739159, $49.08, $50.42, $49.06
08/13/2018, $49.06, 2728263, $48.35, $49.1, $48.35
08/10/2018, $48.4, 2949187, $49.39, $49.4414, $48.29
08/09/2018, $49.37, 3230234, $48.82, $49.54, $48.82
08/08/2018, $48.96, 3924806, $51.14, $51.14, $48.77
08/07/2018, $50.8, 5265902, $49.89, $50.89, $49.27
08/06/2018, $50.05, 7838495, $49.24, $51.54, $49.09
08/03/2018, $50.3, 4835812, $50, $50.99, $50
08/02/2018, $49.98, 3971541, $49.83, $50.12, $49.37
08/01/2018, $50.04, 3041997, $49.96, $50.525, $49.83
07/31/2018, $49.95, 9270995, $50.22, $50.965, $49.77
07/30/2018, $50.16, 4385696, $49.36, $50.265, $49.13
07/27/2018, $49.32, 5052245, $49.31, $49.89, $48.98
07/26/2018, $49.28, 4399001, $49.42, $49.95, $49
07/25/2018, $49.42, 3672979, $49.35, $49.74, $49.06
07/24/2018, $49.19, 2894743, $49.45, $49.7, $49.05
07/23/2018, $49.16, 3570860, $48.8, $49.7722, $48.32
07/20/2018, $48.8, 3092364, $48.66, $49.3, $48.22
07/19/2018, $49, 4400023, $49.4, $49.845, $48.14
07/18/2018, $49.49, 2235850, $49.94, $50.1899, $49.49
07/17/2018, $49.97, 2274326, $50.74, $50.82, $49.93
07/16/2018, $50.71, 1568583, $50.99, $51.25, $50.52
07/13/2018, $50.8, 3035446, $49.96, $51.63, $49.85
07/12/2018, $50.26, 3528165, $50.27, $50.53, $49.76
07/11/2018, $49.96, 3465860, $49.5, $50.23, $48.85
07/10/2018, $50.17, 3703677, $50.54, $50.73, $49.89
07/09/2018, $50.26, 3822049, $50.36, $51.01, $50.07
07/06/2018, $49.94, 4756042, $50.1, $50.4, $49.54
07/05/2018, $50.04, 3630127, $49.86, $50.45, $49.57
07/03/2018, $49.5, 1857763, $49.23, $50.25, $49.16
07/02/2018, $49.15, 3679364, $48.9, $49.67, $48.6
06/29/2018, $48.83, 3545081, $49.84, $49.9, $48.78
06/28/2018, $50.37, 6511601, $50.6, $51, $48.28
06/27/2018, $52.93, 2028333, $53.14, $53.71, $52.6
06/26/2018, $53.32, 1779274, $53.4, $53.69, $52.72
06/25/2018, $53.34, 1693268, $53.89, $54.29, $52.9
06/22/2018, $53.98, 2998333, $53.9, $54.41, $53.78
06/21/2018, $53.54, 1717722, $54.38, $54.4169, $53.42
06/20/2018, $54.25, 1828803, $54.12, $54.44, $53.53
06/19/2018, $54.1, 3819029, $52.66, $54.4, $52.66
